DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:45:14.476	476.5	0.12	2.1646580130	102.5566266375
2025-08-11 03:45:14.478	478.8	3.05	2.1670094790	102.5559978949
2025-08-11 03:45:14.478	478.8	11.55	2.2068948731	102.5411737398
2025-08-11 03:45:14.660	660.2	1.31	1.9980904487	102.7919057889
2025-08-11 03:45:14.935	935.8	13.98	2.1876413525	102.4976603759
2025-08-11 03:45:14.937	937.3	4.39	2.3242208272	102.3253387166
2025-08-11 03:45:14.937	937.5	8.73	2.2434418628	102.4876017193
2025-08-11 03:45:14.958	958.8	8.26	2.2609092992	102.4001320011
