DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:08:36.287	287.2	0.03	2.3124285915	101.5061375707
2025-08-11 01:08:36.288	288.5	0.03	2.3124285915	101.5061375707
2025-08-11 01:08:36.322	322.7	10.79	2.2609795505	101.5187517381
2025-08-11 01:08:36.322	322.8	6.26	2.3002396849	101.7255067947
2025-08-11 01:08:36.330	330.5	8.45	2.3251007643	101.5259994320
2025-08-11 01:08:36.330	330.6	4.25	2.3335921682	101.6844971927
2025-08-11 01:08:36.332	333.0	12.66	2.2334776202	101.5010564127
2025-08-11 01:08:36.333	333.0	9.90	2.2641135325	101.6302264137
2025-08-11 01:08:36.618	618.2	7.90	2.3374845556	101.6928567319
