DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 05:42:08.074	75.0	10.92	2.8024750605	101.8733375155
2025-08-11 05:42:08.103	103.5	7.34	2.5749005976	101.4217311583
2025-08-11 05:42:08.185	185.1	4.47	2.4464886991	102.1617947999
2025-08-11 05:42:08.293	293.1	3.36	2.5611328568	101.7047204450
2025-08-11 05:42:08.425	425.2	3.24	2.4441384354	102.1783388418
2025-08-11 05:42:08.792	792.5	0.01	2.5970355536	101.2716347092
2025-08-11 05:42:08.910	910.7	0.01	2.5970355536	101.2716347092
2025-08-11 05:42:08.911	911.1	4.09	2.4380796514	102.1853523064
