DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:20:06.043	43.9	18.16	2.0704590460	102.3168753393
2025-08-11 03:20:06.063	63.6	17.08	1.9617949804	102.6210283138
2025-08-11 03:20:06.111	111.9	14.38	2.0317208103	102.5450028459
2025-08-11 03:20:06.213	213.6	17.49	2.0747888180	102.4322919107
2025-08-11 03:20:06.312	312.9	13.61	2.0497212342	102.5278381692
2025-08-11 03:20:06.312	312.9	15.41	2.0758686470	102.4672585597
2025-08-11 03:20:06.324	324.1	14.16	2.0462844572	102.5289161459
2025-08-11 03:20:06.324	324.1	15.41	2.0758686470	102.4672585597
2025-08-11 03:20:06.345	346.0	15.68	2.0223142982	102.5503940344
2025-08-11 03:20:06.346	346.0	15.98	2.0701707988	102.4696846693
