DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:20:11.508	508.7	13.86	2.1719218597	102.3906833861
2025-08-11 03:20:11.508	508.7	13.33	2.1847648993	102.3794477984
2025-08-11 03:20:11.509	509.9	6.91	2.1845865462	102.3517600927
2025-08-11 03:20:11.509	509.9	6.11	2.2092769099	102.3317149539
2025-08-11 03:20:11.517	517.9	4.89	2.1909205187	102.2894629760
2025-08-11 03:20:11.517	517.9	5.95	2.2275456858	102.3184111604
2025-08-11 03:20:11.527	527.5	9.28	2.0586685037	102.5539071590
2025-08-11 03:20:11.527	527.5	10.41	2.0752222208	102.5361127962
2025-08-11 03:20:11.533	533.6	6.03	2.1930898985	102.3152630883
2025-08-11 03:20:11.540	540.7	7.64	2.1828680734	102.3541871308
2025-08-11 03:20:11.540	540.7	7.46	2.1892894237	102.3488837862
2025-08-11 03:20:11.544	544.5	10.45	2.0887001725	102.5218231345
2025-08-11 03:20:11.586	586.3	10.10	2.1998733280	102.2984528441
2025-08-11 03:20:11.586	586.3	9.10	2.1988790333	102.2832603821
2025-08-11 03:20:11.804	804.3	13.21	2.1814254124	102.2523361110
2025-08-11 03:20:11.804	804.3	12.42	2.1811541025	102.2446950461
2025-08-11 03:20:11.925	925.5	8.96	2.2883191062	102.1950688784
2025-08-11 03:20:11.986	986.5	19.13	2.4375923635	101.9469957135
