DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:08:50.451	451.1	15.29	3.0395801416	101.0562726168
2025-08-11 03:08:50.451	451.2	10.55	2.9191810513	101.3109495069
2025-08-11 03:08:50.463	463.0	9.46	3.2220554361	100.6161131119
2025-08-11 03:08:50.463	463.3	6.94	2.8982125881	101.3253577859
2025-08-11 03:08:50.617	617.7	10.07	2.8915374320	101.3468599860
2025-08-11 03:08:50.685	685.4	5.07	2.8742883856	101.3777240689
2025-08-11 03:08:50.740	740.3	4.59	2.1809645160	102.3985950492
2025-08-11 03:08:50.740	740.3	7.13	2.1765361545	102.3703676785
2025-08-11 03:08:50.742	742.0	10.13	2.1677632583	102.3770190759
2025-08-11 03:08:50.742	742.0	3.12	2.1784302745	102.4152252974
2025-08-11 03:08:50.743	743.2	11.21	2.1629699106	102.3796255564
2025-08-11 03:08:50.744	744.7	14.38	2.8705414204	102.2546764429
2025-08-11 03:08:50.744	744.7	14.38	2.8705414204	102.2546764429
