DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:15:47.832	832.2	6.12	2.1252457903	102.4710415281
2025-08-11 03:15:47.832	832.2	2.62	2.1304196469	102.2369645210
2025-08-11 03:15:47.833	833.4	10.39	2.1280681156	102.2748987477
2025-08-11 03:15:47.833	833.4	3.44	2.1292439795	102.2366049648
2025-08-11 03:15:47.835	835.6	14.49	2.1295068691	102.3969715350
2025-08-11 03:15:47.835	835.6	6.66	2.1313240079	102.2374139718
2025-08-11 03:15:47.838	838.5	11.07	2.1788023286	102.2831699944
2025-08-11 03:15:47.844	844.2	8.80	2.1285203703	102.2272562536
2025-08-11 03:15:47.883	883.6	6.83	2.1365693299	102.2492796761
2025-08-11 03:15:47.883	883.6	4.75	2.1367501730	102.2404702566
2025-08-11 03:15:47.886	886.5	9.70	2.1381064768	102.2748989311
2025-08-11 03:15:47.886	886.5	5.10	2.1384684752	102.2457738828
2025-08-11 03:15:47.888	888.2	12.77	2.1398229487	102.3220024916
2025-08-11 03:15:47.888	888.2	5.85	2.1402771920	102.2474818316
2025-08-11 03:15:47.889	889.9	12.34	2.1533879844	102.3273068856
2025-08-11 03:15:47.889	889.9	5.70	2.1523051370	102.2502685024
2025-08-11 03:15:47.906	906.8	8.88	2.2541340573	102.3122094292
