DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:07:23.493	493.7	4.01	2.5288196521	101.4823662550
2025-08-11 03:07:23.493	493.8	12.50	2.5118356620	101.6809135242
2025-08-11 03:07:23.553	553.9	0.01	2.5219445350	101.4787736779
2025-08-11 03:07:23.554	554.1	6.35	2.3787074651	101.9016956517
2025-08-11 03:07:23.779	779.2	14.99	2.5005874006	101.4550486243
2025-08-11 03:07:23.779	779.2	6.90	2.4632566277	101.6468576650
2025-08-11 03:07:23.780	780.4	6.04	2.5237575632	101.4857861858
2025-08-11 03:07:23.780	780.6	7.02	2.3844006734	101.8869491922
