DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 05:16:28.056	56.1	16.06	2.7969634522	102.9967540080
2025-08-11 05:16:28.056	56.4	4.53	2.4540328554	102.6197217146
2025-08-11 05:16:28.168	168.7	0.07	2.6092702798	101.3052567480
2025-08-11 05:16:28.168	168.7	0.74	2.6094512115	101.3053465352
2025-08-11 05:16:28.237	237.8	19.88	2.7047749791	101.4425982626
2025-08-11 05:16:28.238	238.6	0.14	2.6099064331	101.3093028531
2025-08-11 05:16:28.238	238.6	0.73	2.6100874342	101.3094825650
2025-08-11 05:16:28.294	294.4	15.58	2.6172197628	101.2944597643
2025-08-11 05:16:28.568	568.6	0.18	2.4570699976	102.1672788011
