DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:59:41.801	801.7	12.77	2.3878835313	101.5655251205
2025-08-11 01:59:41.801	801.8	4.60	2.6203298284	101.6274492518
2025-08-11 01:59:41.819	819.9	14.90	2.3978265237	101.5570684988
2025-08-11 01:59:41.819	819.9	16.03	2.4800660135	101.6241912698
2025-08-11 01:59:41.858	858.3	10.84	2.3896030885	101.5679517650
2025-08-11 01:59:41.858	858.4	14.05	2.5347593110	100.9195610044
2025-08-11 01:59:41.860	860.1	6.63	2.3760891455	101.4990893734
2025-08-11 01:59:41.860	860.1	14.81	2.3876680351	101.5049268654
2025-08-11 01:59:41.895	895.6	11.89	2.3837226191	101.5637291069
2025-08-11 01:59:41.898	898.6	10.84	2.3896030885	101.5679517650
2025-08-11 01:59:41.898	898.9	18.71	2.6692332215	102.2225710412
2025-08-11 01:59:41.931	931.0	12.04	2.3937561342	101.5554522744
2025-08-11 01:59:41.931	931.3	6.80	2.4230790321	101.5971554842
2025-08-11 01:59:41.973	973.1	11.14	2.3881554209	101.5666038829
