DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:22:10.271	271.3	19.06	1.8274049247	102.6323194782
2025-08-11 03:22:10.271	271.4	9.04	2.0605739444	102.5256829627
2025-08-11 03:22:10.682	682.8	9.92	2.0649158665	102.5208298670
2025-08-11 03:22:10.747	747.1	1.68	2.0944198848	102.3779113486
2025-08-11 03:22:10.776	776.8	11.41	2.0781198496	102.5188548113
2025-08-11 03:22:10.776	776.8	8.28	2.1017303637	102.4835325503
2025-08-11 03:22:10.779	779.8	6.60	2.0665477346	102.5007852337
2025-08-11 03:22:10.810	810.1	10.81	2.0552459153	102.4868507943
2025-08-11 03:22:10.810	810.1	7.55	2.0893467285	102.4473951259
2025-08-11 03:22:10.867	867.5	10.21	2.0559705799	102.4802891646
2025-08-11 03:22:10.934	934.9	5.05	2.3295578607	102.2984575394
2025-08-11 03:22:10.937	937.1	9.67	2.0544329200	102.4817271092
