DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:12:31.473	473.4	17.01	2.5244459796	102.2003643495
2025-08-11 03:12:31.473	473.4	12.08	2.5191106243	102.2092664001
2025-08-11 03:12:31.475	475.1	7.56	2.1913683354	102.3621884737
2025-08-11 03:12:31.478	478.2	8.73	2.1836812087	102.3633564857
2025-08-11 03:12:31.520	520.5	5.23	2.1732815100	102.3588609173
2025-08-11 03:12:31.716	716.9	18.10	2.2921445838	102.8747287988
2025-08-11 03:12:31.717	717.1	6.41	2.3147273878	102.2403792520
2025-08-11 03:12:31.737	737.7	5.34	2.1203791039	102.3250577850
2025-08-11 03:12:31.745	745.2	15.21	2.1396399781	102.3526557291
2025-08-11 03:12:31.747	747.0	6.25	2.1892885761	102.3592217568
2025-08-11 03:12:31.755	756.0	6.53	2.1890171449	102.3606600614
2025-08-11 03:12:31.769	769.6	6.53	2.1890171449	102.3606600614
2025-08-11 03:12:31.783	783.5	6.53	2.1890171449	102.3606600614
