DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:59:42.043	43.1	9.70	2.3946710103	101.5746923260
2025-08-11 01:59:42.100	100.2	10.75	2.3898751230	101.5693002552
2025-08-11 01:59:42.100	100.4	0.06	2.3563975253	102.0215467505
2025-08-11 01:59:42.100	101.0	11.02	2.5871367145	100.8566499845
2025-08-11 01:59:42.101	101.4	0.30	2.5142253288	102.1715912023
2025-08-11 01:59:42.174	174.8	10.38	2.3510865862	101.5829858483
2025-08-11 01:59:42.194	194.8	11.14	2.3881554209	101.5666038829
2025-08-11 01:59:42.206	206.9	14.33	2.4536228405	101.5554205348
2025-08-11 01:59:42.281	282.0	10.25	2.4352261509	101.6550526288
2025-08-11 01:59:42.292	292.5	12.46	2.3879741121	101.5657947994
2025-08-11 01:59:42.691	691.6	10.90	2.3842590545	101.5525801968
