DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:47:13.227	227.6	16.56	2.5387529719	101.3301273040
2025-08-11 03:47:13.227	227.7	9.16	2.5354380620	101.6791945462
2025-08-11 03:47:13.234	234.8	5.31	2.4572498766	102.1534321381
2025-08-11 03:47:13.266	266.0	19.60	2.5892818111	100.7589915521
2025-08-11 03:47:13.348	348.2	6.36	2.4580634603	102.1492061493
2025-08-11 03:47:13.405	405.2	10.45	2.6226265094	101.9661957497
2025-08-11 03:47:13.405	405.2	6.35	2.4284019044	102.1655722859
2025-08-11 03:47:13.448	448.1	8.69	2.5390821509	102.0554142679
