DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 02:10:12.666	666.4	5.99	2.3973852911	102.2337254353
2025-08-11 02:10:12.730	730.8	5.11	2.3426718511	102.2316582390
2025-08-11 02:10:12.739	739.9	16.42	2.4620050011	101.9280182574
2025-08-11 02:10:12.751	751.7	12.09	2.4007215297	101.5591348947
2025-08-11 02:10:12.778	778.6	12.18	2.4005399166	101.5577863484
2025-08-11 02:10:12.821	821.7	14.48	2.4521337547	101.8783887407
2025-08-11 02:10:12.852	852.0	14.60	2.4531288582	101.8794674131
2025-08-11 02:10:12.891	891.1	13.81	2.4485097854	101.8569905469
2025-08-11 02:10:12.930	930.4	5.04	2.3452041558	102.2447844336
