DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:10:21.078	78.5	9.09	2.1877557895	102.2313905216
2025-08-11 03:10:21.080	80.7	18.96	2.1383767485	102.3068106455
2025-08-11 03:10:21.080	80.7	6.02	2.1366584748	102.1912993167
2025-08-11 03:10:21.082	82.8	15.52	2.1438041194	102.2619545177
2025-08-11 03:10:21.082	82.8	2.74	2.1425367770	102.1909395073
2025-08-11 03:10:21.087	87.1	12.09	2.1367498623	102.2194355202
2025-08-11 03:10:21.087	87.1	5.93	2.1364775792	102.1907599720
2025-08-11 03:10:21.091	91.1	16.74	2.1315953517	102.2427175804
2025-08-11 03:10:21.091	91.1	7.94	2.1308702682	102.1844677861
2025-08-11 03:10:21.100	100.5	9.37	2.1144105148	102.1758390338
2025-08-11 03:10:21.136	136.9	9.65	2.1358452868	102.2110755851
2025-08-11 03:10:21.136	136.9	7.94	2.1357545943	102.2031650940
2025-08-11 03:10:21.271	271.3	13.93	2.0731667323	102.1125599622
2025-08-11 03:10:21.271	271.3	9.36	2.0992137369	102.1280185105
2025-08-11 03:10:21.497	497.1	7.64	2.1495918972	102.2280649653
