DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:18:14.366	366.7	12.49	3.1311132089	100.9112421222
2025-08-11 03:18:14.367	367.0	0.08	2.6911397237	101.6287624918
2025-08-11 03:18:14.369	369.5	11.40	3.0798727901	101.0200657357
2025-08-11 03:18:14.369	369.8	0.80	2.6998116006	101.6102323623
2025-08-11 03:18:14.446	446.3	8.56	2.9353188483	101.2514803748
2025-08-11 03:18:14.446	446.3	8.56	2.9353188483	101.2514803748
2025-08-11 03:18:14.451	451.3	8.17	2.9145460550	101.2826199691
2025-08-11 03:18:14.451	451.5	0.08	2.6126923294	101.7327544571
2025-08-11 03:18:14.505	506.0	8.67	2.9407376989	101.2433802686
2025-08-11 03:18:14.582	583.0	8.56	2.9353188483	101.2514803748
2025-08-11 03:18:14.934	934.0	13.04	3.1702675821	100.8364313991
