DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:02:02.384	384.5	8.89	2.1891788761	101.7074801564
2025-08-11 01:02:02.384	384.6	7.57	2.3410214425	102.0102212920
2025-08-11 01:02:02.385	385.6	8.87	2.2096193286	101.7129558970
2025-08-11 01:02:02.385	386.0	8.30	2.2634641551	101.8075998722
2025-08-11 01:02:02.390	390.5	5.79	2.2136939064	101.7250904137
2025-08-11 01:02:02.433	433.8	3.72	2.1690216001	101.7306806386
2025-08-11 01:02:02.515	515.8	3.25	2.1673030925	101.7300520155
2025-08-11 01:02:02.588	588.1	0.15	2.1805990109	101.7351710957
2025-08-11 01:02:02.725	725.5	0.15	2.1805990109	101.7351710957
2025-08-11 01:02:02.726	726.9	6.23	2.2128666264	101.6934470075
