DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:51:16.171	171.7	18.98	2.5968642614	101.7277253040
2025-08-11 01:51:16.171	171.7	5.58	2.6503309798	101.7772526804
2025-08-11 01:51:16.234	234.8	10.34	2.3965901299	101.6128128287
2025-08-11 01:51:16.272	272.5	2.42	2.4339365112	101.6076697388
2025-08-11 01:51:16.272	272.6	13.69	2.4772929121	101.9455478308
2025-08-11 01:51:16.304	304.1	0.27	2.4331218203	101.6061416409
2025-08-11 01:51:16.304	304.3	0.03	2.8779096089	101.9148676429
2025-08-11 01:51:16.374	374.8	15.32	2.4346568991	101.6017352077
2025-08-11 01:51:16.374	374.9	8.82	2.6302469174	101.7578364089
2025-08-11 01:51:16.413	413.4	0.27	2.4331218203	101.6061416409
2025-08-11 01:51:16.615	615.5	17.30	2.5708329423	102.3819137052
2025-08-11 01:51:16.616	616.9	17.04	2.4620155381	101.0574740924
2025-08-11 01:51:16.616	617.0	6.24	2.4059835332	101.5903308368
2025-08-11 01:51:16.759	759.1	9.82	2.3992132965	101.6139803831
2025-08-11 01:51:16.759	759.9	17.33	2.4547992750	101.5568585167
