DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:02:25.197	197.3	7.48	2.1818726642	102.3614685444
2025-08-11 03:02:25.200	200.3	5.73	2.1830443645	102.4000335917
2025-08-11 03:02:25.200	200.3	8.20	2.1812394242	102.3636259706
2025-08-11 03:02:25.203	203.4	5.45	2.1808731445	102.4064158918
2025-08-11 03:02:25.203	203.4	8.51	2.1788881634	102.3629066200
2025-08-11 03:02:25.204	204.4	9.35	2.1750899486	102.3620073661
2025-08-11 03:02:25.326	326.7	16.60	2.3215805235	102.4734105927
2025-08-11 03:02:25.503	503.7	10.43	2.1848585156	102.3431301819
2025-08-11 03:02:25.764	764.9	5.60	2.1572705183	102.3976036957
2025-08-11 03:02:25.764	764.9	5.19	2.1612495263	102.3989525200
2025-08-11 03:02:25.766	766.3	5.84	2.1587170669	102.4011995858
2025-08-11 03:02:25.768	768.7	8.26	2.1334832985	102.4191752318
2025-08-11 03:02:25.768	768.7	0.08	2.1650495958	102.3828619280
2025-08-11 03:02:25.769	769.8	6.98	2.1574509052	102.4017388090
2025-08-11 03:02:25.771	771.4	7.96	2.1525669972	102.4049744289
2025-08-11 03:02:25.777	777.4	8.05	2.1579047776	102.3867266632
2025-08-11 03:02:25.777	777.6	7.19	2.1603448855	102.4013795491
2025-08-11 03:02:25.785	785.8	8.73	2.1520228214	102.4173796039
2025-08-11 03:02:25.799	799.4	9.65	2.1517489600	102.4358975273
2025-08-11 03:02:25.932	932.2	3.86	2.1485871007	102.4109069128
