DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 05:23:53.693	693.5	12.16	2.6169242714	101.3827659987
2025-08-11 05:23:53.693	693.5	11.15	2.6603885197	101.4663684385
2025-08-11 05:23:53.713	713.9	7.63	2.5765454832	101.4473577731
2025-08-11 05:23:53.714	714.0	10.99	2.5325854903	101.7763978378
2025-08-11 05:23:53.789	790.0	3.80	2.6256428812	101.3111793993
2025-08-11 05:23:53.790	790.1	13.68	2.5817795748	101.5790004096
2025-08-11 05:23:53.877	877.7	6.77	2.4419645121	102.1323038802
2025-08-11 05:23:53.877	877.8	13.15	2.5674144187	101.6044557276
