DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:10:53.142	142.5	8.06	2.1851239312	102.4038094120
2025-08-11 03:10:53.212	212.5	4.54	2.5062691193	102.2196971417
2025-08-11 03:10:53.253	253.6	11.34	2.1362857703	102.4268163890
2025-08-11 03:10:53.450	450.6	11.06	2.4426022278	102.2038740210
2025-08-11 03:10:53.470	470.0	10.67	2.5030119635	102.1817524470
2025-08-11 03:10:53.470	470.0	6.70	2.5031024085	102.1819322753
2025-08-11 03:10:53.485	485.2	9.74	2.1774363730	102.4082133978
2025-08-11 03:10:53.486	486.1	5.36	2.1489541711	102.3607467656
2025-08-11 03:10:53.489	489.8	3.83	2.1747252222	102.3919421921
2025-08-11 03:10:53.489	489.8	4.87	2.1744548192	102.3835819812
2025-08-11 03:10:53.811	811.4	4.32	2.5165786902	102.2179884734
2025-08-11 03:10:53.870	870.3	15.72	2.4739787882	102.1345488604
2025-08-11 03:10:53.870	870.3	13.49	2.4728942502	102.1421916814
