DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:10:22.633	633.0	7.31	2.1925476243	102.3083411007
2025-08-11 03:10:22.634	634.7	7.41	2.2150628772	102.3572460655
2025-08-11 03:10:22.634	634.7	6.15	2.2102735160	102.2959361054
2025-08-11 03:10:22.646	646.8	9.85	2.2106341364	102.3202082474
2025-08-11 03:10:22.646	646.8	8.23	2.2081033469	102.2873958537
2025-08-11 03:10:22.758	758.6	9.81	2.2155117323	102.3911373050
2025-08-11 03:10:22.760	760.6	16.10	2.1751842472	102.3024073269
2025-08-11 03:10:22.760	760.6	14.93	2.1739189203	102.2784953660
2025-08-11 03:10:22.958	958.6	10.03	2.0694604237	102.3697293214
2025-08-11 03:10:22.979	979.1	13.95	2.5306859993	102.2001842742
2025-08-11 03:10:22.982	982.2	5.30	2.2148863269	102.2750801453
2025-08-11 03:10:22.982	982.2	3.39	2.2134395233	102.2650116587
