DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:06:12.006	6.2	10.40	2.1726497301	102.3428596775
2025-08-11 03:06:12.006	6.2	7.99	2.1815123790	102.3433996412
2025-08-11 03:06:12.237	237.5	16.69	2.4752495530	102.2095375022
2025-08-11 03:06:12.241	241.9	0.21	2.1786180598	102.3484335496
2025-08-11 03:06:12.243	243.9	15.51	2.5406345716	102.2233830372
2025-08-11 03:06:12.253	253.3	10.07	2.5456989552	102.2241022911
2025-08-11 03:06:12.253	253.8	6.12	2.1931813509	102.2912609546
2025-08-11 03:06:12.317	317.8	5.90	2.1783452092	102.3666821529
2025-08-11 03:06:12.319	319.4	8.42	2.1381912586	102.3725217831
2025-08-11 03:06:12.441	441.2	4.32	2.1710215323	102.3476239623
2025-08-11 03:06:12.806	806.1	7.81	2.1798847596	102.3403431084
