DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:23:41.006	6.1	5.78	2.3254825862	101.5618710651
2025-08-11 01:23:41.025	25.6	9.33	2.2372849491	101.5167865863
2025-08-11 01:23:41.025	25.6	3.99	2.2430756043	101.5219077400
2025-08-11 01:23:41.202	202.0	-0.30	2.3771399239	100.5430084963
2025-08-11 01:23:41.203	203.6	5.77	2.2624556127	101.7696623275
2025-08-11 01:23:41.203	203.7	18.25	2.3511460008	101.9891814617
2025-08-11 01:23:41.206	206.1	12.26	2.3566693835	101.5391087093
2025-08-11 01:23:41.207	207.1	15.20	2.4490899604	101.5356421460
2025-08-11 01:23:41.267	267.8	13.96	2.2601037438	101.4180641804
2025-08-11 01:23:41.267	267.8	6.72	2.3446170262	101.4965897541
2025-08-11 01:23:41.285	285.7	8.05	2.4599570856	100.1275896457
2025-08-11 01:23:41.401	401.1	15.31	2.1943788785	101.4486683096
2025-08-11 01:23:41.468	468.8	7.53	2.1903198123	101.6307988758
2025-08-11 01:23:41.472	472.7	2.54	2.1887952062	101.6578580593
