DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:05:09.301	301.4	18.43	2.2451916072	101.7941209062
2025-08-11 01:05:09.301	301.5	11.90	2.3395259749	101.8260056218
2025-08-11 01:05:09.314	314.3	16.80	2.2656639671	101.9021743577
2025-08-11 01:05:09.361	361.3	10.30	2.2660643948	102.1002248390
2025-08-11 01:05:09.444	444.1	6.41	2.2105096439	101.6805028164
2025-08-11 01:05:09.444	444.3	13.35	2.4298067701	101.9149890468
2025-08-11 01:05:09.502	502.9	2.63	2.1736083493	101.6711688524
2025-08-11 01:05:09.503	503.1	19.70	2.4357886058	101.9680355021
