DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:13:46.057	57.7	12.31	2.0340749381	102.5323294519
2025-08-11 03:13:46.057	57.7	9.64	2.0649185753	102.5075265141
2025-08-11 03:13:46.109	109.5	15.65	2.1723808732	102.2991710249
2025-08-11 03:13:46.109	109.5	3.62	2.2072890709	102.2978238322
2025-08-11 03:13:46.112	112.3	2.89	2.2497943831	102.2784070810
2025-08-11 03:13:46.146	146.1	11.50	2.2170569009	102.2683378967
2025-08-11 03:13:46.603	603.5	7.21	2.2307123927	102.2820025963
2025-08-11 03:13:46.635	635.2	8.39	2.1413610684	102.1899507400
2025-08-11 03:13:46.638	638.5	6.88	2.1978833079	102.3087009119
2025-08-11 03:13:46.674	674.1	6.24	2.2128047037	102.3181407298
2025-08-11 03:13:46.740	740.2	6.58	2.1447988956	102.2345372999
2025-08-11 03:13:46.742	742.4	7.32	2.1441658621	102.2360654790
2025-08-11 03:13:46.742	742.4	6.17	2.1535711525	102.2342675305
