DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:15:52.114	114.3	7.87	2.2139756765	102.3784616711
2025-08-11 03:15:52.183	183.0	8.50	2.2027651014	102.3383668897
2025-08-11 03:15:52.183	183.0	6.15	2.2037600782	102.3356700637
2025-08-11 03:15:52.186	186.9	9.63	2.1804284232	102.3241620751
2025-08-11 03:15:52.249	249.3	8.29	2.2537735128	102.2798455598
2025-08-11 03:15:52.249	249.3	8.29	2.2537735128	102.2798455598
2025-08-11 03:15:52.249	249.3	7.24	2.2488900172	102.2788565579
2025-08-11 03:15:52.249	249.3	7.24	2.2488900172	102.2788565579
