DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 05:45:16.117	117.4	19.94	2.8485024392	101.6464895298
2025-08-11 05:45:16.140	140.9	12.60	2.5352638370	101.6936715506
2025-08-11 05:45:16.182	182.4	9.04	2.5557369891	102.2133116647
2025-08-11 05:45:16.243	244.0	9.24	2.5680559444	101.2207619015
2025-08-11 05:45:16.243	244.0	-0.00	2.5664335585	101.2271476185
2025-08-11 05:45:16.292	292.2	11.58	2.5525799792	101.3182478328
2025-08-11 05:45:16.292	292.5	5.39	2.5646319192	101.2355117227
2025-08-11 05:45:16.403	403.3	18.61	2.8118687159	101.6303191848
2025-08-11 05:45:16.546	546.9	18.30	2.4512395467	102.5840254919
2025-08-11 05:45:16.861	861.5	0.74	2.5655097819	101.2041285997
2025-08-11 05:45:16.938	938.7	0.74	2.5655097819	101.2041285997
