DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 04:08:57.648	648.8	4.74	2.5018802147	101.9039107170
2025-08-11 04:08:57.649	649.3	16.93	2.4942345331	101.4207046744
2025-08-11 04:08:57.703	703.3	14.92	2.5385309858	101.5406279325
2025-08-11 04:08:57.703	703.4	15.12	2.5744870364	101.6411401152
2025-08-11 04:08:57.728	728.3	-0.04	2.2336440809	101.2209332376
2025-08-11 04:08:57.728	728.4	4.72	2.5426178604	101.5713780592
2025-08-11 04:08:57.820	820.1	6.38	2.5408410371	101.6316248687
2025-08-11 04:08:57.820	821.0	11.11	2.5465795078	101.5406234372
2025-08-11 04:08:57.821	821.3	13.95	2.5356388457	101.5435968669
2025-08-11 04:08:57.825	825.9	12.30	2.5442333193	101.5494368534
2025-08-11 04:08:57.828	828.5	13.46	2.5678500651	101.5738823254
2025-08-11 04:08:57.830	830.6	16.28	2.5701259396	101.6016667807
2025-08-11 04:08:57.831	832.0	5.86	2.5374949102	101.8494102001
2025-08-11 04:08:57.833	833.6	19.92	2.5375290435	101.5283095936
