DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 01:40:32.207	207.0	9.79	2.3760533911	101.5966393196
2025-08-11 01:40:32.207	207.2	10.46	2.7411535978	101.8514129124
2025-08-11 01:40:32.234	234.5	13.93	2.4985320957	101.8967183218
2025-08-11 01:40:32.541	541.9	16.03	2.4267104459	101.6245765977
2025-08-11 01:40:32.542	542.2	17.51	2.6262553663	102.4774202678
2025-08-11 01:40:32.543	543.1	19.60	2.3769570211	101.5952902573
2025-08-11 01:40:32.543	543.1	9.58	2.5619598815	101.7350233613
2025-08-11 01:40:32.602	602.1	17.59	2.5179032245	101.6996136804
2025-08-11 01:40:32.640	640.3	7.80	2.4109881591	101.6513773157
