DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:04:10.194	194.1	3.04	2.1843131533	102.3751327925
2025-08-11 03:04:10.194	194.1	3.55	2.1946237008	102.3656946721
2025-08-11 03:04:10.215	215.5	1.33	2.1882008992	102.3847519438
2025-08-11 03:04:10.223	223.8	0.01	2.0502851271	102.3980420057
2025-08-11 03:04:10.223	223.9	2.46	2.1831416365	102.3216451609
2025-08-11 03:04:10.268	268.7	12.22	2.1599898346	102.3264982112
2025-08-11 03:04:10.303	303.4	8.84	0.4996314096	102.6069126081
2025-08-11 03:04:10.304	304.2	5.74	2.7160698525	102.3955989648
2025-08-11 03:04:10.445	445.3	5.04	2.1982429415	102.3436704616
2025-08-11 03:04:10.445	445.9	1.10	2.1069961748	102.2070312978
2025-08-11 03:04:10.666	666.7	6.95	2.1589031610	102.3476231114
