DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:11:14.372	372.9	4.51	2.1193775281	102.0962853003
2025-08-11 03:11:14.513	513.8	10.21	2.1391015248	102.2523360109
2025-08-11 03:11:14.525	525.6	13.94	2.1397344174	102.2694155352
2025-08-11 03:11:14.525	525.6	9.05	2.1393726616	102.2277954402
2025-08-11 03:11:14.544	544.4	13.61	2.1287004013	102.3004279525
2025-08-11 03:11:14.544	544.4	8.64	2.1295153452	102.2474818432
2025-08-11 03:11:14.653	653.8	12.91	2.1388301972	102.2570104029
2025-08-11 03:11:14.653	653.8	9.18	2.1381065561	102.2274358907
2025-08-11 03:11:14.656	656.6	10.61	2.1353031977	102.2581789783
2025-08-11 03:11:14.656	656.6	9.39	2.1353936660	102.2486504322
2025-08-11 03:11:14.803	803.9	3.07	2.1307814442	102.2469424919
2025-08-11 03:11:14.869	869.1	4.74	2.1526646074	102.1725110156
