DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 02:02:47.082	82.0	16.36	2.1499359943	102.0347952788
2025-08-11 02:02:47.664	664.8	13.89	2.1706414168	102.0104307966
2025-08-11 02:02:47.664	664.8	8.04	2.1799557391	102.0076424708
2025-08-11 02:02:47.667	668.0	16.01	2.1592578280	102.0818980396
2025-08-11 02:02:47.668	668.2	10.63	2.1775252215	102.0774910263
2025-08-11 02:02:47.691	691.0	18.24	2.1609758800	102.0801898574
2025-08-11 02:02:47.691	691.0	12.51	2.1776151958	102.0740750187
2025-08-11 02:02:47.852	852.1	8.21	2.1896429184	102.0726351858
