DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:21:11.023	23.6	10.86	2.0613838199	102.5441100148
2025-08-11 03:21:11.023	23.6	12.46	2.1461385467	102.4581002646
2025-08-11 03:21:11.168	168.7	12.11	2.0640996519	102.5316162103
2025-08-11 03:21:11.222	222.1	12.52	2.1252648071	102.2364252169
2025-08-11 03:21:11.222	222.5	10.72	2.1504059859	102.2516168942
2025-08-11 03:21:11.226	226.7	16.92	2.1250839898	102.2446952178
2025-08-11 03:21:11.379	379.6	10.11	2.2386654332	102.3696539237
2025-08-11 03:21:11.379	379.6	6.97	2.1193661978	102.4784116666
2025-08-11 03:21:11.400	401.0	7.64	2.0631926087	102.5437508342
2025-08-11 03:21:11.422	423.0	9.34	2.1117899467	102.2508976996
2025-08-11 03:21:11.422	423.0	5.32	2.1258979122	102.2529652193
2025-08-11 03:21:11.428	428.9	6.74	2.1404497392	102.3955344018
2025-08-11 03:21:11.477	477.1	5.27	2.1141412454	102.2400209395
2025-08-11 03:21:11.943	943.8	5.24	2.1181104825	102.4095550682
