DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 02:11:08.436	436.4	15.49	2.2155066913	102.0671481801
2025-08-11 02:11:08.439	439.4	15.62	2.2189431223	102.0663386526
2025-08-11 02:11:08.439	439.4	9.70	2.2300659348	102.0612129930
2025-08-11 02:11:08.494	494.6	11.63	2.2287039601	102.0273216503
2025-08-11 02:11:08.780	780.3	6.05	2.2421831693	102.0538396356
2025-08-11 02:11:08.958	958.9	18.38	2.1154355785	101.8477379694
2025-08-11 02:11:08.962	962.7	8.95	2.1955729807	101.8882581406
2025-08-11 02:11:08.973	973.7	3.98	2.1462219565	102.0003669617
