DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:40:53.293	293.3	4.07	2.2408338070	102.3898813313
2025-08-11 03:40:53.294	294.2	5.24	2.2843398147	102.3059177164
2025-08-11 03:40:53.295	295.0	6.03	2.2391153630	102.3914094320
2025-08-11 03:40:53.296	296.5	6.22	2.2328751031	102.3932966492
2025-08-11 03:40:53.300	300.6	4.42	2.2544016183	102.3652502248
2025-08-11 03:40:53.314	314.0	5.02	2.2401097561	102.3949155841
2025-08-11 03:40:53.314	314.0	10.24	2.3287404340	102.3551872883
2025-08-11 03:40:53.348	348.0	6.51	2.2295306834	102.3774742500
2025-08-11 03:40:53.361	361.8	2.44	2.2429141963	102.3864653871
2025-08-11 03:40:53.361	361.9	8.37	2.4402510146	102.2911787967
