DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 03:18:05.548	548.8	8.65	2.0735024839	102.5426742820
2025-08-11 03:18:05.552	552.4	3.91	2.0709677938	102.5535502018
2025-08-11 03:18:05.575	575.8	9.61	2.0776636176	102.5377312725
2025-08-11 03:18:05.580	580.3	3.46	2.0688872534	102.5557969571
2025-08-11 03:18:05.597	597.8	2.91	2.0667162741	102.5580436868
2025-08-11 03:18:05.761	761.4	11.23	2.2121643838	102.4018346898
2025-08-11 03:18:05.775	775.4	11.27	2.0721468402	102.5387189350
2025-08-11 03:18:05.775	775.5	1.36	2.1298619307	102.4468614098
2025-08-11 03:18:05.787	787.5	7.22	2.0973019263	102.4669022584
2025-08-11 03:18:05.809	809.1	10.24	2.0990096745	102.5224543244
2025-08-11 03:18:05.809	809.5	12.31	2.0509951335	102.4885579438
2025-08-11 03:18:05.830	830.9	10.29	2.0633730714	102.5455486195
2025-08-11 03:18:05.830	831.0	5.25	2.1041722351	102.4829037210
2025-08-11 03:18:05.871	871.2	11.05	2.0740466600	102.5356631216
2025-08-11 03:18:05.920	921.0	11.34	2.0742273125	102.5366519267
2025-08-11 03:18:05.921	921.0	2.82	2.1279622291	102.4504568041
2025-08-11 03:18:05.958	958.5	11.07	2.0592112838	102.5531881760
2025-08-11 03:18:05.958	958.5	3.03	2.1171982923	102.4635793353
