id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756266830.379465103,142.545625,44.669373,-6.234518,-6.320938,9.003773,12.644817,0,1.917723592e-01
2,1756266830.380669117,151.786781,44.690047,-5.078722,-7.191971,8.794325,12.444196,1,-2.283004276e-02
3,1756266830.380986929,143.352395,44.020776,-6.039817,-6.341677,8.401660,12.136068,1,-2.283004276e-02
3,1756266830.381057978,143.343756,44.416395,-5.973615,-6.269618,8.428264,12.084197,1,-2.283004276e-02
3,1756266830.381710052,142.564104,46.156919,-6.080778,-6.219899,8.949730,12.480412,1,-2.283004276e-02
4,1756266830.383245945,152.174936,44.685839,-5.053198,-7.256624,8.989086,12.609404,1,-2.283004276e-02
4,1756266830.384368896,151.765240,45.059771,-5.092127,-7.207549,8.876000,12.516465,1,-2.283004276e-02
4,1756266830.384380102,151.065271,44.433120,-5.288516,-7.283395,9.223830,12.887796,0,1.917723592e-01
5,1756266830.385443926,142.801638,41.746633,-5.154691,-5.271936,6.781981,10.017955,1,-2.283004276e-02
6,1756266830.386059046,153.276321,44.221516,-4.950894,-7.414230,8.958387,12.638626,1,-2.283004276e-02
7,1756266830.388099909,151.900494,43.656586,-5.372280,-7.637633,9.075071,13.021204,1,-2.283004276e-02
7,1756266830.389448881,151.476526,44.848243,-5.363227,-7.512942,9.173888,13.014174,1,-2.283004276e-02
7,1756266830.389612913,152.319003,44.164179,-5.180412,-7.480053,9.142344,12.898462,1,-2.283004276e-02
7,1756266830.389815092,152.623326,43.999412,-5.167438,-7.550894,8.904595,12.767546,1,-2.283004276e-02
8,1756266830.392713070,151.817169,45.831318,-5.181548,-7.346974,9.315970,12.946573,0,1.917723592e-01
9,1756266830.394968033,150.497587,45.493960,-5.471424,-7.397765,9.306008,13.086833,0,1.917723592e-01
9,1756266830.395853043,150.379215,45.430651,-5.439598,-7.304952,9.503315,13.162999,0,1.917723592e-01
10,1756266830.402828932,150.440315,48.879865,-4.501046,-6.070746,8.641059,11.479602,1,-2.283004276e-02
10,1756266830.402853966,150.589966,45.489926,-5.635567,-7.627108,9.930782,13.731454,1,-2.283004276e-02
10,1756266830.404170990,152.090912,49.142124,-4.102889,-5.890937,8.114822,10.834536,1,-2.283004276e-02
10,1756266830.405112982,150.426731,45.995167,-5.561125,-7.504662,9.556524,13.363129,1,-2.283004276e-02
10,1756266830.405822039,149.974934,45.763499,-5.705667,-7.551647,9.927873,13.716584,1,-2.283004276e-02
10,1756266830.405833006,149.962057,46.057416,-5.584893,-7.407488,9.551298,13.314999,1,-2.283004276e-02
10,1756266830.405839920,149.225895,46.570214,-5.750470,-7.398974,10.230626,13.873660,1,-2.283004276e-02
10,1756266830.406426907,151.570065,49.834197,-4.071953,-5.725452,8.290207,10.866882,1,-2.283004276e-02
10,1756266830.407188892,152.732810,49.099255,-4.184314,-6.141064,8.590028,11.358245,1,-2.283004276e-02
10,1756266830.407191992,154.114640,48.203087,-4.022347,-6.219787,8.458999,11.243651,1,-2.283004276e-02
11,1756266830.410053015,155.634400,51.717217,-3.526371,-5.795569,8.166892,10.617064,1,-2.283004276e-02
11,1756266830.410361052,155.337302,49.205908,-3.886051,-6.302787,8.731501,11.448390,1,-2.283004276e-02
11,1756266830.411190033,150.308858,50.290553,-4.097566,-5.493052,8.340911,10.795113,1,-2.283004276e-02
12,1756266830.414172888,157.603670,50.144625,-3.495577,-6.201236,8.129714,10.805861,1,-2.283004276e-02
12,1756266830.415226936,158.990350,50.470687,-3.428932,-6.442573,8.783679,11.420041,1,-2.283004276e-02
13,1756266830.423036098,161.164039,50.882449,-3.234390,-6.643748,8.240676,11.068397,1,-2.283004276e-02
14,1756266830.431977987,138.128333,53.681485,-4.882949,-4.283772,8.738305,10.888153,1,-2.283004276e-02
15,1756266830.433916092,134.623417,55.524662,-4.922310,-3.832601,8.917478,10.882986,1,-2.283004276e-02
16,1756266830.461242914,140.866471,44.899407,-6.066690,-5.813759,8.474501,11.934056,1,-2.283004276e-02
16,1756266830.461250067,141.414592,44.338775,-6.134856,-6.000145,8.447917,12.041823,1,-2.283004276e-02
16,1756266830.461252928,141.137743,43.386385,-6.250405,-6.029977,8.426435,12.100950,1,-2.283004276e-02
16,1756266830.461345911,142.744919,43.471770,-6.169938,-6.291387,8.648728,12.347072,1,-2.283004276e-02
17,1756266830.476274967,141.623773,45.950010,-4.700082,-4.637647,6.832068,9.501352,1,-2.283004276e-02
17,1756266830.476337910,140.764554,46.236414,-4.784041,-4.534287,7.177711,9.745068,1,-2.283004276e-02
17,1756266830.476353884,140.744327,44.953338,-4.877504,-4.626800,6.964824,9.680191,1,-2.283004276e-02
17,1756266830.476377010,139.488764,45.770396,-4.799536,-4.464397,6.414879,9.171535,1,-2.283004276e-02
18,1756266830.494180918,147.851730,40.084814,-5.072523,-6.212209,6.973109,10.627619,1,-2.283004276e-02
19,1756266830.494282961,140.137009,46.653603,-4.626873,-4.307668,6.854254,9.324417,1,-2.283004276e-02
19,1756266830.494290113,141.263615,47.346699,-4.454927,-4.327845,6.824241,9.227507,1,-2.283004276e-02
20,1756266830.529917955,145.141133,46.671372,-4.847946,-5.453769,7.457160,10.433380,1,-2.283004276e-02
