id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756267646.421719074,-148.421491,16.426138,9.343913,-20.772907,6.284913,23.628849,0,2.732700272e+00
2,1756267646.423832893,-149.088875,17.317817,9.357972,-21.088395,7.211335,24.172203,1,-1.681661706e-01
2,1756267646.424313068,-147.938141,18.561756,9.607070,-20.855009,7.382457,24.119035,1,-1.681661706e-01
2,1756267646.425074100,-149.648835,16.997531,9.186558,-21.219098,7.125870,24.195475,1,-1.681661706e-01
2,1756267646.425379992,-149.365388,16.278987,8.728869,-20.098519,6.229500,22.780480,1,-1.681661706e-01
2,1756267646.426152945,-149.078089,16.134505,9.083095,-20.143781,6.696017,23.089200,1,-1.681661706e-01
2,1756267646.427208900,-148.412669,17.970316,9.269173,-20.348516,7.162774,23.479459,1,-1.681661706e-01
2,1756267646.427947998,-150.038524,17.386362,9.372053,-21.621066,7.789404,24.818958,1,-1.681661706e-01
2,1756267646.428250074,-150.773502,17.839173,8.536320,-21.034058,7.160224,23.802713,1,-1.681661706e-01
3,1756267646.430510044,-151.107816,18.812394,8.403347,-21.068840,7.576989,23.914912,1,-1.681661706e-01
3,1756267646.430707932,-151.291362,19.255087,8.280122,-21.211631,7.517252,23.979216,1,-1.681661706e-01
3,1756267646.432045937,-149.666313,19.755906,9.131465,-21.009036,8.360047,24.385521,1,-1.681661706e-01
4,1756267646.434140921,-152.466410,18.194996,8.049683,-21.693720,7.403233,24.294500,1,-1.681661706e-01
4,1756267646.435587883,-152.922894,17.787679,7.843922,-21.483889,7.316214,24.012738,1,-1.681661706e-01
4,1756267646.436891079,-153.591807,18.735225,7.328134,-21.208628,7.177113,23.558829,1,-1.681661706e-01
5,1756267646.440114021,-154.408665,17.417778,7.051287,-21.124015,6.825883,23.292431,1,-1.681661706e-01
5,1756267646.440536976,-154.980998,18.039392,6.893838,-21.370481,7.142820,23.563581,1,-1.681661706e-01
6,1756267646.443923950,-154.693268,17.924268,7.236093,-21.957479,7.397589,24.273777,1,-1.681661706e-01
6,1756267646.443932056,-156.039911,15.511722,6.864374,-22.105158,6.768587,24.115792,1,-1.681661706e-01
6,1756267646.444431067,-155.779029,16.270348,6.705794,-21.128714,6.877772,23.209782,1,-1.681661706e-01
7,1756267646.446898937,-156.141353,14.961827,6.506013,-21.209020,6.167866,23.025927,0,2.732700272e+00
7,1756267646.447331905,-156.651936,18.444649,6.276908,-21.895385,7.064569,23.847759,1,-1.681661706e-01
7,1756267646.447642088,-156.403880,16.839301,6.447411,-21.822373,6.696569,23.719804,1,-1.681661706e-01
8,1756267646.449668884,-156.823884,17.170684,6.298377,-22.136366,6.635988,23.952549,1,-1.681661706e-01
8,1756267646.450629950,-158.315614,16.464645,5.680272,-21.856101,6.499456,23.498884,1,-1.681661706e-01
8,1756267646.451545954,-159.348644,15.979684,5.466836,-22.481530,6.649366,24.073212,1,-1.681661706e-01
9,1756267646.460123062,-160.893796,15.706355,4.753337,-21.611685,6.608247,23.093897,1,-1.681661706e-01
9,1756267646.460678101,-160.128569,17.665541,4.947083,-21.877469,6.947967,23.481302,1,-1.681661706e-01
10,1756267646.465568066,-159.527272,16.957007,5.153939,-21.371779,6.814974,23.016514,1,-1.681661706e-01
11,1756267646.472387075,-157.140343,16.715291,6.188260,-22.226424,6.404929,23.944344,1,-1.681661706e-01
12,1756267646.475807905,-154.819292,18.234747,7.677095,-22.905455,8.320814,25.550609,1,-1.681661706e-01
13,1756267646.477361917,-148.625891,17.639018,9.326439,-20.522943,7.226058,23.672549,1,-1.681661706e-01
14,1756267646.480986118,-148.503985,18.296842,8.987104,-20.043822,6.918468,23.030155,1,-1.681661706e-01
14,1756267646.481338978,-148.936064,16.827973,9.127638,-20.092822,6.980935,23.146678,1,-1.681661706e-01
15,1756267646.482913971,-154.457987,19.735538,6.528897,-19.536223,7.329109,21.863356,1,-1.681661706e-01
