id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756267700.753109932,69.949351,34.400106,-7.808917,3.621965,5.855084,10.410563,0,5.829668377e-02
2,1756267700.757152081,67.728141,35.724321,-9.028484,4.693483,7.306974,12.527337,1,-5.143825039e-03
3,1756267700.768615007,68.860137,34.950201,-9.331399,4.717696,7.286250,12.744454,1,-5.143825039e-03
3,1756267700.769458055,70.422705,34.073085,-9.369049,4.552718,7.025101,12.564170,1,-5.143825039e-03
4,1756267700.777342081,71.135976,36.126154,-8.809904,3.781704,6.935093,11.832633,1,-5.143825039e-03
5,1756267700.783768892,75.324608,34.755100,-10.275016,3.853826,7.542675,13.316151,1,-5.143825039e-03
5,1756267700.784838915,74.889506,35.329944,-9.271806,3.311555,6.859167,11.999206,1,-5.143825039e-03
6,1756267700.804089069,69.567212,35.382314,-8.791708,4.269762,6.911705,11.970658,1,-5.143825039e-03
7,1756267700.809926987,74.329158,35.126877,-8.535230,2.940045,6.212343,10.958432,1,-5.143825039e-03
7,1756267700.810626984,76.016649,33.582349,-10.479404,3.739189,7.293946,13.304176,1,-5.143825039e-03
8,1756267700.815289021,78.203761,33.431983,-8.815065,2.614196,5.914800,10.932715,1,-5.143825039e-03
9,1756267700.835613012,69.104572,36.412510,-7.688426,3.577758,6.223802,10.518933,1,-5.143825039e-03
10,1756267700.845647097,78.779723,32.912989,-9.766572,2.684768,6.343120,11.951112,1,-5.143825039e-03
10,1756267700.845829964,76.561290,35.782011,-9.594596,3.282337,7.207679,12.441087,1,-5.143825039e-03
10,1756267700.846627951,79.916940,33.536408,-8.637836,2.118117,5.657492,10.540676,0,5.829668377e-02
11,1756267700.848448038,77.704966,33.766874,-10.110070,3.001197,6.859706,12.580790,1,-5.143825039e-03
12,1756267700.853660107,80.846837,33.402099,-11.729650,3.147087,7.876571,14.475124,1,-5.143825039e-03
13,1756267700.858689070,83.333168,33.942953,-11.613070,2.444633,7.761274,14.180162,1,-5.143825039e-03
13,1756267700.858778954,84.041019,33.920121,-11.630902,2.255769,7.707890,14.134283,1,-5.143825039e-03
13,1756267700.859253883,82.307999,34.039317,-10.959867,2.396153,7.321656,13.396525,1,-5.143825039e-03
14,1756267700.864126921,82.487042,35.970809,-13.139493,3.083191,9.616488,16.571940,1,-5.143825039e-03
15,1756267700.873027086,76.574723,28.364863,-7.804613,2.482445,4.267525,9.235057,0,5.829668377e-02
16,1756267700.877182007,86.474204,33.352392,-12.152225,1.859759,7.803336,14.561158,1,-5.143825039e-03
16,1756267700.877191067,85.704281,34.844066,-11.812861,1.846619,7.986586,14.378430,1,-5.143825039e-03
17,1756267700.878396988,76.399970,28.472839,-10.642881,3.927460,6.121943,12.890851,1,-5.143825039e-03
18,1756267700.879055023,89.062011,31.941914,-12.775130,1.631447,7.891875,15.104544,1,-5.143825039e-03
19,1756267700.881473064,87.518897,34.186552,-11.703855,1.530519,7.697959,14.091887,1,-5.143825039e-03
20,1756267700.890558958,89.915514,32.750367,-12.971058,1.425472,8.219316,15.421980,1,-5.143825039e-03
21,1756267700.893034935,89.872190,33.038071,-13.778844,1.577885,8.883092,16.469839,1,-5.143825039e-03
22,1756267700.897934914,89.856100,34.054513,-13.427973,1.406557,8.879692,16.159758,1,-5.143825039e-03
23,1756267700.899843931,90.429484,33.446427,-12.996054,1.211990,8.359918,15.500147,1,-5.143825039e-03
24,1756267700.902831078,78.478600,33.622413,-10.154618,3.004576,6.879672,12.628287,1,-5.143825039e-03
25,1756267700.904366970,90.778461,33.562293,-13.036932,1.250450,8.523854,15.626302,1,-5.143825039e-03
25,1756267700.904654026,90.007464,34.357311,-13.424145,1.366754,8.974986,16.205742,1,-5.143825039e-03
25,1756267700.904918909,89.786547,34.490404,-13.671982,1.447148,9.196346,16.540560,1,-5.143825039e-03
26,1756267700.907018900,89.112296,34.586949,-12.614445,1.328325,8.403873,15.215576,1,-5.143825039e-03
26,1756267700.908382893,88.604008,35.023829,-14.276598,1.882979,9.903827,17.477204,1,-5.143825039e-03
