id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756266779.145790100,149.723130,38.673814,-5.420670,-7.116172,7.234426,11.504803,0,7.126045255e-01
1,1756266779.146063089,149.420266,38.057438,-5.591917,-7.247953,7.610007,11.904393,1,-1.875275067e-02
2,1756266779.149869919,147.867677,42.707373,-5.610381,-6.896635,8.196336,12.092141,1,-1.875275067e-02
2,1756266779.151364088,147.097068,44.115011,-5.647333,-6.767535,8.430735,12.197098,1,-1.875275067e-02
2,1756266779.151575089,149.404916,44.337015,-5.304634,-6.878835,8.629039,12.244094,1,-1.875275067e-02
2,1756266779.151634932,148.338224,44.051439,-5.492952,-6.867724,8.487675,12.222061,1,-1.875275067e-02
3,1756266779.154408932,145.592192,42.219975,-5.915666,-6.687502,8.279318,12.176407,1,-1.875275067e-02
3,1756266779.154516935,146.138269,42.266512,-5.729521,-6.650481,7.782766,11.731486,1,-1.875275067e-02
3,1756266779.154613972,144.879487,43.329574,-6.079308,-6.716972,8.592857,12.486508,1,-1.875275067e-02
4,1756266779.156164885,150.673706,45.303848,-5.201163,-7.061470,9.101583,12.639433,1,-1.875275067e-02
4,1756266779.156812906,152.033411,44.949616,-5.014876,-7.162693,9.028075,12.568186,1,-1.875275067e-02
4,1756266779.156816006,150.582849,44.826764,-5.275020,-7.135725,9.136275,12.736402,1,-1.875275067e-02
4,1756266779.156867981,149.905329,45.082900,-5.392841,-7.128697,9.007796,12.690211,1,-1.875275067e-02
5,1756266779.157639980,143.297368,43.285852,-6.170701,-6.420249,8.656660,12.419135,1,-1.875275067e-02
4,1756266779.157643080,143.987384,43.317948,-6.041829,-6.441141,8.602418,12.328568,1,-1.875275067e-02
4,1756266779.157665968,143.754583,43.134001,-6.230955,-6.599477,8.688874,12.564809,1,-1.875275067e-02
4,1756266779.157672882,143.635769,43.856531,-6.206230,-6.562883,8.734968,12.565365,1,-1.875275067e-02
4,1756266779.158350945,143.563526,43.615617,-6.071737,-6.427246,8.331598,12.148704,1,-1.875275067e-02
6,1756266779.160273075,153.406573,45.135154,-4.816316,-7.250333,9.107512,12.598056,1,-1.875275067e-02
7,1756266779.160657883,144.592730,45.607060,-5.565817,-6.089396,8.458073,11.815162,1,-1.875275067e-02
7,1756266779.160693884,146.665524,48.089202,-5.376202,-6.336204,9.220123,12.412159,1,-1.875275067e-02
7,1756266779.161194086,146.354156,45.637723,-5.277885,-6.218545,7.881965,11.342475,1,-1.875275067e-02
7,1756266779.161741018,144.132960,46.211796,-5.600692,-6.026049,8.638362,11.929053,1,-1.875275067e-02
7,1756266779.161767006,144.710222,45.976096,-5.454562,-5.965938,8.612752,11.812035,1,-1.875275067e-02
7,1756266779.161854982,145.746149,45.184705,-5.650617,-6.432475,8.698013,12.204984,1,-1.875275067e-02
7,1756266779.161869049,145.887310,44.477021,-5.717144,-6.549359,8.547431,12.191736,1,-1.875275067e-02
8,1756266779.164647102,144.141038,47.745303,-5.554340,-5.994946,8.934378,12.108393,1,-1.875275067e-02
8,1756266779.164845943,143.520540,47.373669,-5.670225,-5.948473,9.153233,12.301116,1,-1.875275067e-02
8,1756266779.164849997,145.232497,47.649161,-5.374270,-5.993114,9.033780,12.099974,1,-1.875275067e-02
8,1756266779.165781975,146.511509,47.538821,-5.153412,-6.011569,8.890059,11.905031,1,-1.875275067e-02
8,1756266779.165803909,145.213250,48.455470,-5.334792,-5.974556,9.001403,12.049090,1,-1.875275067e-02
9,1756266779.168550968,147.312091,48.727825,-5.161865,-6.207927,9.318207,12.329322,1,-1.875275067e-02
10,1756266779.170516968,146.252368,48.815851,-5.244534,-6.093315,9.138879,12.171801,1,-1.875275067e-02
11,1756266779.172925949,146.878609,48.332426,-5.152807,-6.177198,8.601919,11.777190,1,-1.875275067e-02
12,1756266779.174767971,149.001658,48.442792,-4.842466,-6.209599,8.768659,11.785499,1,-1.875275067e-02
12,1756266779.174792051,149.740158,48.600265,-4.722652,-6.222824,8.703394,11.695129,1,-1.875275067e-02
13,1756266779.177249908,149.437576,48.304433,-4.747939,-6.178414,8.693654,11.674560,1,-1.875275067e-02
14,1756266779.179934025,150.843889,49.035728,-4.545598,-6.261222,8.486986,11.484524,1,-1.875275067e-02
14,1756266779.180078030,151.069549,48.680780,-4.540661,-6.267890,8.770400,11.697178,1,-1.875275067e-02
