id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756267820.295044899,71.190327,29.668181,-9.654144,4.403945,5.999259,12.189682,0,1.010608253e-01
1,1756267820.295300007,70.150379,31.277468,-10.731220,5.177276,7.204713,13.923762,1,-2.675139494e-02
1,1756267820.295806885,71.977358,29.805851,-9.625661,4.227325,5.968990,12.089353,1,-2.675139494e-02
1,1756267820.297118902,71.265290,30.501227,-9.783354,4.405163,6.269190,12.426674,1,-2.675139494e-02
2,1756267820.300544977,72.717237,28.680264,-9.175662,3.790133,5.353753,11.279209,0,1.010608253e-01
3,1756267820.304044962,71.211475,30.391350,-11.067250,5.251441,7.165791,14.191907,1,-2.675139494e-02
4,1756267820.313369989,70.068529,30.336019,-9.287778,4.143548,5.903075,11.759171,0,1.010608253e-01
5,1756267820.316941023,71.667312,31.537606,-10.455397,4.679446,6.980625,13.414234,1,-2.675139494e-02
6,1756267820.321588993,71.114280,31.497369,-10.617201,4.763787,7.074076,13.618413,1,-2.675139494e-02
7,1756267820.333529949,68.562281,31.765928,-11.404469,5.951787,7.948129,15.121456,1,-2.675139494e-02
8,1756267820.335832119,72.277206,28.258014,-11.043432,5.011639,6.500179,13.759587,1,-2.675139494e-02
9,1756267820.338586092,69.601264,31.688005,-10.438827,5.071248,7.130970,13.621211,1,-2.675139494e-02
10,1756267820.340930939,71.276805,29.598761,-9.678797,4.287817,5.954083,12.145600,0,1.010608253e-01
11,1756267820.352546930,70.942178,28.330772,-8.096547,3.690385,4.752358,10.087513,0,1.010608253e-01
12,1756267820.360683918,68.413726,30.079909,-9.958169,5.324988,6.531395,13.045296,1,-2.675139494e-02
13,1756267820.370215893,72.229592,31.373309,-9.883339,4.266623,6.505243,12.577863,1,-2.675139494e-02
14,1756267820.372446060,72.003415,33.062136,-10.961712,5.122063,7.878710,14.438446,1,-2.675139494e-02
15,1756267820.374095917,69.778678,34.188170,-9.637819,4.581891,7.212506,12.880277,1,-2.675139494e-02
15,1756267820.374773979,70.909786,33.851095,-8.561580,3.593916,6.162789,11.144364,1,-2.675139494e-02
16,1756267820.376447916,71.154118,33.102135,-9.978044,4.433757,7.061501,13.003244,1,-2.675139494e-02
17,1756267820.379642010,73.874599,31.903073,-10.502876,4.153754,6.947117,13.259959,1,-2.675139494e-02
17,1756267820.379800081,72.308364,33.097165,-10.195770,4.331865,7.153499,13.186786,1,-2.675139494e-02
18,1756267820.382112980,74.690070,32.222511,-11.391383,4.530655,7.682048,14.467353,1,-2.675139494e-02
19,1756267820.387732983,76.322897,34.590313,-9.614749,3.064309,6.789943,12.162924,1,-2.675139494e-02
19,1756267820.388719082,74.528779,36.744282,-9.401330,3.259834,7.288129,12.334032,1,-2.675139494e-02
20,1756267820.392214060,77.600508,35.129400,-10.980263,3.464061,7.953074,13.993473,1,-2.675139494e-02
21,1756267820.396541119,76.532974,33.230832,-10.074848,3.405512,6.845590,12.647615,1,-2.675139494e-02
21,1756267820.397178888,77.962971,34.397903,-11.264861,3.650185,8.010159,14.296279,1,-2.675139494e-02
21,1756267820.397186041,77.284370,36.053077,-10.344688,3.312435,7.767392,13.353545,1,-2.675139494e-02
22,1756267820.399627924,77.367232,36.622208,-10.525387,3.228722,8.006445,13.612920,1,-2.675139494e-02
23,1756267820.401479006,71.948352,36.394891,-8.925044,3.593504,7.008842,11.903510,1,-2.675139494e-02
24,1756267820.403997898,81.240109,34.912120,-10.539257,2.519574,7.337118,13.086539,1,-2.675139494e-02
25,1756267820.410320997,80.353893,36.278156,-9.932562,2.462270,7.283034,12.560300,1,-2.675139494e-02
25,1756267820.410754919,80.316287,36.799274,-10.810225,2.707861,8.102223,13.778225,1,-2.675139494e-02
26,1756267820.427238941,80.958183,35.479981,-12.290721,3.086421,8.816533,15.437586,1,-2.675139494e-02
27,1756267820.429372072,81.948397,35.179379,-11.386954,2.494484,7.932454,14.099964,1,-2.675139494e-02
28,1756267820.434410095,80.598844,33.875346,-12.388314,3.259232,8.411059,15.324452,1,-2.675139494e-02
29,1756267820.519021988,71.083499,28.999197,-8.652541,3.901927,5.211354,10.828191,0,1.010608253e-01
29,1756267820.519025087,71.421835,29.538101,-9.521939,4.411317,5.917385,12.047510,0,1.010608253e-01
29,1756267820.519087076,72.300277,30.299308,-6.698858,2.532645,4.089461,8.246980,0,1.010608253e-01
29,1756267820.519092083,71.543977,30.421161,-10.240046,4.397945,6.472390,12.887680,1,-2.675139494e-02
29,1756267820.519100904,73.549804,28.618277,-10.121918,4.189163,5.921257,12.452453,0,1.010608253e-01
29,1756267820.519108057,71.598183,30.530409,-10.564966,4.787382,6.797282,13.443979,1,-2.675139494e-02
