id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756266849.132093906,103.141733,49.699083,-7.012979,-1.068949,7.908412,10.623912,0,2.082972050e-01
1,1756266849.132193089,105.249131,48.508389,-7.027296,-1.173616,7.807627,10.569735,0,2.082972050e-01
1,1756266849.132955074,103.714820,50.114915,-6.592111,-1.109656,7.505844,10.051117,0,2.082972050e-01
2,1756266849.141005039,104.898209,51.101360,-6.755697,-1.235710,8.046070,10.578547,1,-4.959457262e-02
2,1756266849.142002106,105.246464,51.502653,-6.612893,-1.318942,7.914505,10.397565,1,-4.959457262e-02
2,1756266849.143244028,102.642353,50.147569,-6.926414,-1.007794,7.922532,10.571536,1,-4.959457262e-02
3,1756266849.145273924,107.223188,50.138028,-7.243057,-1.479661,8.556685,11.307879,1,-4.959457262e-02
3,1756266849.145386934,106.102027,51.617398,-7.541913,-1.245044,9.586782,12.261198,1,-4.959457262e-02
4,1756266849.147633076,102.164133,48.847152,-7.780100,-0.759571,8.860641,11.816000,1,-4.959457262e-02
4,1756266849.148688078,106.578658,52.033574,-7.500931,-1.486532,9.427273,12.138666,1,-4.959457262e-02
5,1756266849.151047945,109.732676,49.845803,-7.777714,-1.778742,9.415697,12.341479,1,-4.959457262e-02
5,1756266849.151465893,109.292905,50.038705,-7.592476,-1.829294,9.001913,11.917485,1,-4.959457262e-02
6,1756266849.156970978,107.080521,50.146674,-7.658680,-1.700683,8.843323,11.821678,1,-4.959457262e-02
6,1756266849.156979084,110.281481,47.761273,-7.802884,-1.897390,8.737817,11.867373,1,-4.959457262e-02
7,1756266849.177257061,108.785856,48.195126,-7.590606,-1.690232,8.503897,11.523474,1,-4.959457262e-02
8,1756266849.183696985,109.294701,48.115972,-7.818430,-1.909686,8.608209,11.784567,1,-4.959457262e-02
8,1756266849.183788061,108.293879,48.114220,-8.419510,-1.807978,9.378789,12.732581,1,-4.959457262e-02
9,1756266849.240206957,103.946083,49.149378,-7.193651,-1.223518,7.927329,10.774421,1,-4.959457262e-02
10,1756266849.242901087,107.302342,46.119762,-7.306829,-1.362011,7.669852,10.680424,0,2.082972050e-01
10,1756266849.243012905,103.378525,48.239795,-7.592757,-1.188940,8.118252,11.178978,1,-4.959457262e-02
10,1756266849.243246078,109.300411,45.586887,-6.950713,-1.649842,7.049370,10.036334,0,2.082972050e-01
11,1756266849.248140097,103.813906,49.634191,-7.834813,-1.280680,8.832826,11.876163,1,-4.959457262e-02
12,1756266849.252724886,104.796261,47.442300,-7.732702,-1.441307,7.999333,11.218796,1,-4.959457262e-02
12,1756266849.252886057,103.344943,48.362765,-8.366944,-1.241673,9.064740,12.398267,1,-4.959457262e-02
13,1756266849.255820990,103.033176,46.306522,-8.688961,-1.125856,8.868994,12.466942,1,-4.959457262e-02
14,1756266849.259813070,107.214179,46.697168,-7.739868,-1.365443,8.391252,11.497091,1,-4.959457262e-02
