id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756267503.650001049,79.433533,33.447543,-9.349190,2.748261,6.335793,11.623363,0,7.157879728e-02
1,1756267503.650032997,78.751939,34.612828,-8.386836,2.316284,5.821915,10.468949,0,7.157879728e-02
2,1756267503.651675940,78.879017,34.695389,-10.377585,3.244381,7.457705,13.184750,1,-3.131572381e-02
3,1756267503.655805111,79.527305,35.666118,-8.769994,2.255223,6.284822,11.022605,0,7.157879728e-02
4,1756267503.658518076,80.035798,33.432222,-9.584559,2.584307,6.390734,11.806096,1,-3.131572381e-02
5,1756267503.660082102,78.659513,34.419032,-8.424556,2.316222,5.795564,10.484588,0,7.157879728e-02
6,1756267503.668117046,75.966049,36.024250,-8.490477,2.706168,6.320183,10.925029,0,7.157879728e-02
7,1756267503.670262098,78.461722,34.466005,-8.539981,2.364326,5.887718,10.638916,0,7.157879728e-02
7,1756267503.671422005,77.816816,35.318110,-9.806631,2.944666,7.083806,12.450758,1,-3.131572381e-02
7,1756267503.671483040,78.590626,34.640002,-8.917203,2.443717,6.183801,11.123293,0,7.157879728e-02
8,1756267503.674819946,73.510246,35.572680,-9.040028,3.474969,6.829574,11.850764,1,-3.131572381e-02
9,1756267503.679951906,76.190701,37.126995,-10.151830,3.480324,8.005595,13.388871,1,-3.131572381e-02
10,1756267503.682270050,76.460195,35.712021,-10.096632,3.354083,7.510993,13.023320,1,-3.131572381e-02
11,1756267503.696073055,72.899052,36.260079,-8.199122,3.254769,6.388583,10.891883,1,-3.131572381e-02
12,1756267503.701272011,74.269066,36.422095,-10.355126,4.265052,8.242064,13.905068,1,-3.131572381e-02
12,1756267503.701530933,72.697965,37.255517,-9.046166,3.650516,7.338403,12.207029,1,-3.131572381e-02
13,1756267503.712008953,77.050874,35.372381,-10.355525,3.293473,7.557840,13.236495,1,-3.131572381e-02
14,1756267503.715565920,75.085133,35.654738,-9.836244,3.486554,7.361418,12.770992,1,-3.131572381e-02
15,1756267503.724977016,73.753147,35.852920,-9.540584,3.578164,7.252740,12.507127,1,-3.131572381e-02
15,1756267503.725322962,73.411617,35.175436,-9.180905,3.573557,6.850412,11.999478,1,-3.131572381e-02
15,1756267503.725344896,71.271566,36.195469,-9.819195,4.138861,7.727603,13.162926,1,-3.131572381e-02
16,1756267503.725891113,81.256169,35.605106,-9.337858,2.114573,6.604644,11.631351,1,-3.131572381e-02
16,1756267503.725924969,80.086088,36.544446,-8.675122,2.080194,6.370264,10.961989,1,-3.131572381e-02
