id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756266857.828603029,151.285554,45.112162,-3.895838,-5.410398,6.867492,9.571437,0,2.380106459e-01
2,1756266857.832422018,149.695255,50.874921,-4.320064,-5.682405,8.635425,11.203716,1,-4.900219180e-02
2,1756266857.833012104,150.472203,49.521509,-4.342310,-5.865733,8.505933,11.207737,1,-4.900219180e-02
2,1756266857.833134890,148.861907,50.260592,-4.526050,-5.797538,8.544454,11.274053,1,-4.900219180e-02
2,1756266857.833807945,148.075093,49.652072,-4.581301,-5.666342,8.642450,11.304322,1,-4.900219180e-02
2,1756266857.833880901,152.293583,50.322115,-4.105279,-5.947972,8.403834,11.084048,1,-4.900219180e-02
2,1756266857.834561110,146.296166,49.694391,-4.838210,-5.642232,8.623007,11.384169,1,-4.900219180e-02
3,1756266857.836119890,153.026273,49.784285,-3.936182,-5.850209,8.158664,10.783426,1,-4.900219180e-02
4,1756266857.838195086,155.472372,49.599789,-3.821455,-6.229306,8.588344,11.276853,1,-4.900219180e-02
5,1756266857.838907957,144.243914,47.992400,-5.407024,-5.871903,8.707830,11.812767,1,-4.900219180e-02
4,1756266857.839119911,156.364468,48.320316,-3.782624,-6.398292,8.635534,11.393807,1,-4.900219180e-02
5,1756266857.839900017,146.189256,47.133411,-5.265406,-6.090373,8.735399,11.879577,1,-4.900219180e-02
5,1756266857.839910984,146.069954,47.790010,-5.244530,-6.055673,8.772419,11.879882,1,-4.900219180e-02
4,1756266857.840298891,155.893632,48.772874,-3.907968,-6.479547,8.781465,11.591845,1,-4.900219180e-02
4,1756266857.840430975,157.111819,49.179156,-3.728590,-6.484500,8.488300,11.313813,1,-4.900219180e-02
4,1756266857.840434074,156.534422,48.887748,-3.816817,-6.487365,8.507758,11.359399,1,-4.900219180e-02
6,1756266857.841532946,147.124420,46.776804,-5.203404,-6.222030,8.690587,11.887614,1,-4.900219180e-02
6,1756266857.841572046,148.425807,46.759362,-4.995131,-6.255150,8.598567,11.747919,1,-4.900219180e-02
6,1756266857.841620922,147.171742,46.777465,-5.191905,-6.232139,8.572093,11.801534,1,-4.900219180e-02
7,1756266857.844779968,148.996761,46.930449,-5.105018,-6.548527,8.732823,12.050171,1,-4.900219180e-02
7,1756266857.844839096,147.185650,47.419290,-5.369003,-6.438406,9.144483,12.405678,1,-4.900219180e-02
7,1756266857.845319033,146.453148,47.888031,-5.369339,-6.278710,9.119420,12.305114,1,-4.900219180e-02
8,1756266857.848856926,144.830660,46.722864,-5.786947,-6.387824,9.162311,12.579388,1,-4.900219180e-02
9,1756266857.850840092,145.436931,46.416443,-5.701071,-6.429581,9.029103,12.464607,1,-4.900219180e-02
9,1756266857.851042986,143.741902,46.409944,-5.971050,-6.347004,9.144824,12.631932,1,-4.900219180e-02
9,1756266857.851622105,143.737092,47.366816,-5.949728,-6.350733,9.274025,12.717650,1,-4.900219180e-02
9,1756266857.851795912,144.482146,46.255867,-5.892197,-6.432360,9.071674,12.585250,1,-4.900219180e-02
10,1756266857.855662107,144.515138,44.985699,-6.133359,-6.692733,9.103509,12.856308,1,-4.900219180e-02
11,1756266857.857767105,144.407565,46.318828,-6.171351,-6.717850,9.519301,13.184543,1,-4.900219180e-02
12,1756266857.859631062,144.357561,45.296623,-6.264447,-6.779964,9.496823,13.243899,1,-4.900219180e-02
12,1756266857.861038923,145.811417,44.682071,-6.106168,-6.980153,9.153695,13.030654,1,-4.900219180e-02
12,1756266857.861121893,145.665051,45.477961,-6.069789,-6.902741,9.330162,13.097408,1,-4.900219180e-02
13,1756266857.866377115,146.039714,46.662446,-6.217087,-7.124493,10.393856,14.051435,1,-4.900219180e-02
13,1756266857.866573095,146.787078,45.987333,-6.109754,-7.211365,9.925246,13.705597,1,-4.900219180e-02
14,1756266857.871113062,146.694870,45.940278,-6.152890,-7.234734,9.996068,13.788430,1,-4.900219180e-02
15,1756266857.880693913,150.736476,40.683903,-4.001530,-5.441734,6.160527,9.142035,0,2.380106459e-01
16,1756266857.882384062,150.310523,44.306938,-4.085442,-5.474413,6.804731,9.641805,0,2.380106459e-01
17,1756266857.919989109,155.900523,42.377003,-3.202291,-5.317017,5.917666,8.575786,0,2.380106459e-01
18,1756266857.925753117,146.001890,34.982437,-5.104414,-5.868669,5.474497,9.511385,0,2.380106459e-01
19,1756266857.929861069,159.856969,37.800378,-3.295572,-6.415337,5.346559,8.977919,0,2.380106459e-01
20,1756266857.939976931,147.516910,33.001275,-5.094482,-6.171012,5.349815,9.625781,0,2.380106459e-01
