id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756267360.575231075,111.109014,39.782079,-8.387207,-2.001541,7.405492,11.366298,0,1.392824628e+00
1,1756267360.575234890,112.353677,40.275557,-8.067249,-2.107346,7.301778,11.083202,0,1.392824628e+00
1,1756267360.576020002,111.633732,40.588188,-8.236770,-2.053521,7.480089,11.314286,1,-9.774207913e-02
2,1756267360.577928066,112.773822,43.470090,-7.984722,-2.231943,7.909278,11.458361,1,-9.774207913e-02
2,1756267360.578092098,114.254336,43.315166,-7.983764,-2.458741,7.922674,11.513238,1,-9.774207913e-02
2,1756267360.578100920,113.463321,44.648608,-7.868278,-2.400932,7.968948,11.453314,1,-9.774207913e-02
2,1756267360.578953981,112.621292,42.715190,-8.206400,-2.222135,8.005384,11.677716,1,-9.774207913e-02
2,1756267360.578958988,112.914822,42.177529,-8.247805,-2.244395,7.981858,11.695027,1,-9.774207913e-02
2,1756267360.579070091,111.330983,43.442759,-8.244800,-2.122979,8.029891,11.703116,1,-9.774207913e-02
2,1756267360.579478025,115.639251,43.924558,-7.864995,-2.624528,8.051179,11.557153,1,-9.774207913e-02
2,1756267360.579482079,114.949592,44.214720,-7.931500,-2.572867,8.105119,11.628469,1,-9.774207913e-02
3,1756267360.582928896,114.526588,46.795284,-8.034861,-2.436473,9.171687,12.434437,1,-9.774207913e-02
3,1756267360.583065033,115.532329,45.087841,-8.037409,-2.572973,8.755711,12.160699,1,-9.774207913e-02
3,1756267360.583072901,114.085296,47.133466,-7.598298,-2.473371,8.322224,11.537379,1,-9.774207913e-02
3,1756267360.584319115,115.792459,46.505555,-7.810215,-2.721122,8.575248,11.913809,1,-9.774207913e-02
3,1756267360.584412098,116.721922,46.394846,-7.814727,-2.788971,8.741197,12.052255,1,-9.774207913e-02
3,1756267360.584470987,116.469211,45.104719,-7.984365,-2.799395,8.546564,12.026240,1,-9.774207913e-02
3,1756267360.585606098,117.312651,45.263564,-8.137945,-2.917181,8.962959,12.452740,1,-9.774207913e-02
3,1756267360.586625099,117.574216,47.004319,-7.984229,-2.929611,9.289330,12.594530,1,-9.774207913e-02
3,1756267360.586707115,113.912753,48.112219,-7.578114,-2.344069,8.759066,11.817094,1,-9.774207913e-02
4,1756267360.589982986,120.209858,49.843878,-7.579510,-3.225277,9.829005,12.824224,1,-9.774207913e-02
4,1756267360.590466022,122.388025,46.810652,-7.747040,-3.668083,9.154965,12.541326,1,-9.774207913e-02
4,1756267360.591315985,122.571036,46.448523,-7.728098,-3.661032,9.100388,12.487743,1,-9.774207913e-02
4,1756267360.591408014,124.456711,47.229534,-7.477599,-3.881928,9.118168,12.414703,1,-9.774207913e-02
5,1756267360.594151974,117.431558,49.698526,-7.672225,-2.938564,9.497007,12.557521,1,-9.774207913e-02
6,1756267360.594961882,123.505234,46.663429,-7.932534,-3.973533,9.352535,12.891236,1,-9.774207913e-02
6,1756267360.595226049,124.764654,45.994809,-7.812044,-4.131183,9.094662,12.680993,1,-9.774207913e-02
5,1756267360.595308065,117.200637,50.026667,-7.523174,-2.955859,9.216207,12.258618,1,-9.774207913e-02
5,1756267360.596441031,119.212179,49.533132,-7.739190,-3.135552,9.852264,12.914869,1,-9.774207913e-02
5,1756267360.596466064,118.042376,49.312026,-7.594198,-2.990097,9.327785,12.394357,1,-9.774207913e-02
5,1756267360.596611023,118.197711,48.297235,-8.124271,-3.077834,9.936270,13.198724,1,-9.774207913e-02
5,1756267360.596615076,117.695082,49.484754,-7.706817,-2.945099,9.573237,12.637860,1,-9.774207913e-02
7,1756267360.598390102,111.060870,37.263117,-8.393794,-2.021640,6.741098,10.953776,0,1.392824628e+00
8,1756267360.599251986,123.087656,46.135634,-8.044181,-3.998968,9.180573,12.844591,1,-9.774207913e-02
8,1756267360.600022078,123.024943,45.408858,-8.620588,-4.103763,10.003373,13.828336,1,-9.774207913e-02
8,1756267360.600084066,122.595478,46.607876,-8.045162,-3.895936,9.339594,12.927914,1,-9.774207913e-02
8,1756267360.601129055,123.486333,46.163470,-8.234033,-4.054004,9.703119,13.356076,1,-9.774207913e-02
9,1756267360.603538990,125.283128,45.026356,-8.444478,-4.478182,9.774999,13.671647,1,-9.774207913e-02
10,1756267360.606873035,124.758869,45.549367,-8.517989,-4.449254,9.899744,13.796990,1,-9.774207913e-02
10,1756267360.607230902,124.704850,45.154488,-8.843857,-4.520687,10.386337,14.371027,1,-9.774207913e-02
10,1756267360.608030081,125.522035,45.347835,-8.582277,-4.718797,9.751649,13.820897,1,-9.774207913e-02
10,1756267360.608088017,125.617305,46.484258,-8.415992,-4.675550,9.894646,13.805568,1,-9.774207913e-02
10,1756267360.608331919,126.645941,44.514897,-8.717589,-4.914021,9.994963,14.143665,1,-9.774207913e-02
10,1756267360.608359098,125.554941,45.089574,-8.645025,-4.673657,9.954990,13.988615,1,-9.774207913e-02
10,1756267360.608424902,126.220116,45.651330,-8.243398,-4.630837,9.610882,13.482111,1,-9.774207913e-02
10,1756267360.608607054,125.574478,45.639593,-8.526384,-4.623207,9.982125,13.918193,1,-9.774207913e-02
11,1756267360.611072063,128.367913,45.404292,-8.109952,-4.994162,9.497894,13.450761,1,-9.774207913e-02
12,1756267360.613651037,110.854323,39.133562,-8.547895,-2.002847,7.365836,11.460080,0,1.392824628e+00
13,1756267360.615336895,129.029592,43.332806,-8.660024,-5.369821,9.784043,14.126517,1,-9.774207913e-02
14,1756267360.619199038,127.675337,42.458455,-9.473166,-5.540300,10.319074,15.063834,1,-9.774207913e-02
14,1756267360.620662928,128.841763,42.533023,-9.050854,-5.511977,10.134496,14.663146,1,-9.774207913e-02
14,1756267360.621608973,129.326846,42.990323,-8.588253,-5.395136,9.597286,13.963290,1,-9.774207913e-02
14,1756267360.621843100,129.565051,42.975821,-8.721845,-5.518851,9.805089,14.236154,1,-9.774207913e-02
14,1756267360.621845007,128.887861,43.405851,-8.820615,-5.465008,9.893546,14.337078,1,-9.774207913e-02
14,1756267360.621995926,128.602188,43.624850,-8.621469,-5.331949,9.570712,13.941232,1,-9.774207913e-02
15,1756267360.630649090,131.557513,43.492765,-8.618303,-5.899484,10.049784,14.494041,1,-9.774207913e-02
15,1756267360.631215096,131.270625,43.844053,-8.587122,-5.825180,10.064916,14.455930,1,-9.774207913e-02
15,1756267360.631297112,132.969972,43.957610,-8.526959,-6.193090,10.143586,14.627226,1,-9.774207913e-02
16,1756267360.632961035,132.158656,43.332990,-8.850798,-6.206611,10.306195,14.935739,1,-9.774207913e-02
16,1756267360.633426905,132.741020,42.593747,-8.700761,-6.248011,9.901540,14.587028,1,-9.774207913e-02
16,1756267360.633460045,132.042169,44.272164,-8.568557,-6.034988,10.121956,14.570355,1,-9.774207913e-02
