id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756268654.795310020,61.683174,27.202371,-12.230554,8.773613,7.723999,16.918123,0,2.505238919e-02
2,1756268654.797296047,59.046382,29.848968,-9.050234,6.806183,6.557489,13.085546,1,-3.000286130e-03
2,1756268654.797893047,60.827817,30.036771,-11.305319,8.269847,8.098432,16.179778,0,2.505238919e-02
2,1756268654.797919989,60.546042,29.273035,-11.387446,8.193481,7.905159,16.102751,0,2.505238919e-02
2,1756268654.798405886,60.620277,29.267060,-11.511945,8.331368,7.990318,16.302814,0,2.505238919e-02
3,1756268654.802222013,63.706936,28.145998,-12.124610,7.987396,7.766074,16.465618,0,2.505238919e-02
3,1756268654.802419901,61.851356,29.835460,-10.901910,7.495793,7.613214,15.264324,1,-3.000286130e-03
4,1756268654.805283070,61.425787,29.980212,-11.790977,8.106427,8.311228,16.547441,0,2.505238919e-02
4,1756268654.806416988,63.139956,30.470151,-12.448680,8.321579,8.812251,17.374524,0,2.505238919e-02
4,1756268654.806683064,62.614264,30.127815,-11.649235,7.906232,8.176987,16.281164,0,2.505238919e-02
5,1756268654.810403109,62.617057,31.367688,-9.766714,6.434459,7.160142,13.713446,1,-3.000286130e-03
6,1756268654.812357903,62.262845,30.688117,-10.872748,7.258454,7.797289,15.221679,0,2.505238919e-02
7,1756268654.814779043,62.253211,31.320279,-11.119960,7.538365,8.196291,15.737206,0,2.505238919e-02
8,1756268654.822120905,64.188182,26.523168,-14.187606,9.347262,8.476647,18.987180,0,2.505238919e-02
9,1756268654.824770927,64.543839,30.547282,-10.269086,6.271470,7.117434,13.980105,1,-3.000286130e-03
10,1756268654.827169895,65.885432,30.484339,-11.203541,6.558375,7.644406,15.065476,1,-3.000286130e-03
11,1756268654.847022057,69.783441,29.240946,-12.259375,6.254489,7.696922,15.768751,1,-3.000286130e-03
12,1756268654.848838091,68.098016,31.242004,-10.786742,5.667203,7.376270,14.243607,1,-3.000286130e-03
12,1756268654.849538088,68.080598,31.436980,-11.098976,5.734414,7.621855,14.634324,1,-3.000286130e-03
13,1756268654.851592064,68.323589,31.711750,-8.313952,4.020836,5.689844,10.847269,1,-3.000286130e-03
14,1756268654.860816002,59.074056,27.093757,-11.021339,8.344065,7.132888,15.555431,1,-3.000286130e-03
15,1756268654.865951061,56.818618,30.200752,-10.419283,8.590490,7.920469,15.655408,0,2.505238919e-02
16,1756268654.873426914,66.955347,28.644487,-13.727546,8.015509,8.688093,18.115652,0,2.505238919e-02
